17:29:41 10.09.2025 - Flask-App gestartet
17:29:52 10.09.2025 - M-Server starten gedrückt
17:29:52 10.09.2025 - M-Server starten ausgeführt
17:29:55 10.09.2025 - M-Server stoppen gedrückt
17:35:59 10.09.2025 - Flask-App gestartet
17:40:40 10.09.2025 - Flask-App gestartet
17:49:05 10.09.2025 - Flask-App gestartet
17:54:33 10.09.2025 - Flask-App gestartet
17:56:15 10.09.2025 - M-Server Status: running
17:56:26 10.09.2025 - M-Server Status: running
17:56:36 10.09.2025 - M-Server Status: running
17:56:46 10.09.2025 - M-Server Status: running
17:56:56 10.09.2025 - M-Server Status: running
17:57:06 10.09.2025 - M-Server Status: running
17:57:16 10.09.2025 - M-Server Status: running
17:58:23 10.09.2025 - M-Server Status: running
18:01:05 10.09.2025 - Flask-App gestartet
18:01:23 10.09.2025 - M-Server Status: exited
18:02:23 10.09.2025 - M-Server Status: exited
18:03:23 10.09.2025 - M-Server Status: exited
18:04:23 10.09.2025 - M-Server Status: exited
18:05:23 10.09.2025 - M-Server Status: exited
18:09:16 10.09.2025 - Flask-App gestartet
18:09:19 10.09.2025 - M-Server Status: running
18:09:27 10.09.2025 - M-Server stoppen gedrückt
18:09:29 10.09.2025 - M-Server Status: running
18:21:36 10.09.2025 - Flask-App gestartet
18:21:44 10.09.2025 - M-Server Status: running
18:21:54 10.09.2025 - M-Server Status: running
18:22:17 10.09.2025 - M-Server Status: running
18:24:52 10.09.2025 - Flask-App gestartet
18:24:54 10.09.2025 - M-Server Status: running
18:25:04 10.09.2025 - M-Server Status: running
18:25:05 10.09.2025 - M-Server stoppen gedrückt
18:25:06 10.09.2025 - M-Server stoppen ausgeführt
18:25:06 10.09.2025 - M-Server Status: running
18:25:06 10.09.2025 - M-Server Status: running
18:25:14 10.09.2025 - M-Server Status: running
18:25:17 10.09.2025 - M-Server starten gedrückt
18:25:18 10.09.2025 - M-Server starten ausgeführt
18:25:18 10.09.2025 - M-Server Status: running
18:25:18 10.09.2025 - M-Server Status: running
18:25:24 10.09.2025 - M-Server Status: running
18:25:34 10.09.2025 - M-Server Status: running
18:25:42 10.09.2025 - M-Server stoppen gedrückt
18:25:42 10.09.2025 - M-Server stoppen ausgeführt
18:25:42 10.09.2025 - M-Server Status: running
18:25:42 10.09.2025 - M-Server Status: running
18:25:44 10.09.2025 - M-Server Status: running
18:25:49 10.09.2025 - M-Server starten gedrückt
18:25:49 10.09.2025 - M-Server starten ausgeführt
18:25:49 10.09.2025 - M-Server Status: running
18:25:49 10.09.2025 - M-Server Status: running
18:25:54 10.09.2025 - M-Server Status: running
18:26:04 10.09.2025 - M-Server Status: running
18:26:14 10.09.2025 - M-Server Status: running
